BRAND,CATEGORY,COLOR,CUSTOMER_ID,ORDER_COUNTRY,ORDER_DATE,ORDER_ID,ORDER_STATUS,PAYMENT_METHOD,PRODUCT_NAME,QUANTITY,SHIPPING_METHOD,SIZE,SUB-CATEGORY,UNIT_PRICE
H&M Kids,Kids Clothing,Pink and Green,2066,Hong Kong,2022-01-21,ORD-1281,Processing,Credit/Debit Card,Pink Floral Dress,3,Standard,Size 6,Dresses,24.99
H&M,Women's Clothing,Cream,2254,Spain,2022-01-23,ORD-541,Delivered,Credit/Debit Card,Women's Faux Fur Coat,4,Standard,Size M,Outerwear,129.99
Canada Goose,Men's Clothing,Dark Green,2033,Hong Kong,2022-01-23,ORD-1388,Shipped,Credit/Debit Card,Men's Parka,2,Standard,Size XL,Jackets,999.99
Zara Kids,Kids Clothing,Grey,2144,Switzerland,2022-01-24,ORD-1158,Delivered,Credit/Debit Card,Grey Hoodie,1,Standard,Size L,Sweatshirts,39.99
Canada Goose,Men's Clothing,Green,2001,Germany,2022-01-24,ORD-1351,Shipped,Credit/Debit Card,Green Parka,2,Standard,Size L,Outerwear,699.99
Mango,Women's Clothing,Pink/White,2360,South Africa,2022-01-25,ORD-665,Delivered,Credit/Debit Card,Floral Midi Dress,2,Standard,Size 6,Dresses,148
H&M Kids,Kids Clothing,Orange,2128,Canada,2022-01-26,ORD-428,Cancelled,PayPal,Orange Cargo Shorts,5,Standard,Size 8,Shorts,22.99
Gap,Men's Clothing,Navy,2406,Egypt,2022-01-26,ORD-760,Shipped,Cash on Delivery,Classic Cotton T-Shirt,7,Express,Size L,Tops,24.99
Zara,Men's Clothing,Green,2365,Mexico,2022-01-26,ORD-384,Cancelled,PayPal,Green Utility Jacket,7,Standard,Size XL,Jackets,129.99
H&M Kids,Kids Clothing,Gray,2027,Italy,2022-01-27,ORD-567,Shipped,Credit/Debit Card,Gray Sweatshirt,5,Standard,Size 6,Tops,19.99
J.Crew,Men's Clothing,Green,2092,United Kingdom,2022-01-27,ORD-1590,Delivered,Credit/Debit Card,Green Cargo Pants,1,Standard,Size 32x32,Pants,89.99
Mango,Women's Clothing,Black,2023,Saudi Arabia,2022-01-28,ORD-829,Processing,Credit/Debit Card,Women's Leather Moto Jacket,3,Standard,Size S,Jackets,199.99
J.Crew,Women's Clothing,Grey,2127,Netherlands,2022-01-28,ORD-1163,Shipped,Credit/Debit Card,Grey Knit Sweater,2,Standard,Size L,Sweaters,89.99
Madewell,Women's Clothing,Blue,2041,Saudi Arabia,2022-01-28,ORD-193,Shipped,Cash on Delivery,Blue Denim Jacket,1,Standard,Size M,Jackets,99.99
Brooks Brothers,Men's Shoes,Brown,2271,Greece,2022-01-29,ORD-641,Delivered,Credit/Debit Card,Brown Leather Loafers,3,Standard,Size 10,Loafers,199.99
Mango,Men's Clothing,Red/Blue,2101,Norway,2022-01-29,ORD-1332,Delivered,Credit/Debit Card,Checkered Button-Down Shirt,2,Standard,Size L,Tops,49.99
Nike Kids,Kids Clothing,Purple,2253,Spain,2022-01-29,ORD-145,Delivered,Credit/Debit Card,Purple Leggings,8,Standard,Size 7,Bottoms,16.99
Gap Kids,Kids Clothing,Yellow,2371,China,2022-01-30,ORD-165,Delivered,Credit/Debit Card,Yellow Graphic T-Shirt,3,Standard,Size XS,Tops,14.99
Brooks Brothers,Men's Clothing,Blue,2051,Brazil,2022-01-30,ORD-1219,Shipped,Cash on Delivery,Blue Dress Shirt,3,Express,Size L,Dress Shirts,89.99
Madewell,Women's Clothing,Black,2026,India,2022-01-30,ORD-108,Delivered,Credit/Debit Card,High-Rise Skinny Jeans,6,Standard,Size 28,Jeans,128
Levi's,Women's Clothing,Black,2051,Netherlands,2022-01-30,ORD-1307,Delivered,Credit/Debit Card,Black Skinny Jeans,2,Standard,Size 28,Jeans,69.99
Nike,Men's Clothing,Red,2350,Saudi Arabia,2022-01-31,ORD-964,Delivered,Credit/Debit Card,Men's Hooded Windbreaker,1,Standard,Size M,Jackets,79.99
Coach,Accessories,Black,2168,Switzerland,2022-02-01,ORD-118,Delivered,Credit/Debit Card,Leather Wallet,3,Standard,One Size,Wallets,250
